"ID","HORA_1","HORA_2","HORA_3","HORA_4","HORA_5","HORA_6","HORA_7","HORA_8","HORA_9","HORA_10","HORA_11","HORA_12","HORA_13","HORA_14","HORA_15","HORA_16","HORA_17","HORA_18","HORA_19","HORA_20","HORA_21","HORA_22","HORA_23","HORA_24","TOTAL","FECHA","TIPO_FECHA","FILE_TYPE"
170,524000,501000,485000,468000,457000,43400,422000,420000,42000,423000,430000,443000,453000,460000,468000,469000,463000,460000,508000,578000,593000,606000,586000,548000,10850400,19-JUN-11,"2","txf"
171,519000,497000,480000,466000,45900,442000,429000,44100,478000,494000,51000,527000,518000,532000,557000,557000,54600,529000,552000,617000,629000,63500,610000,563000,10255100,20-JUN-11,"0","txf"
172,528000,505000,489000,474000,467000,450000,436000,449000,486000,503000,519000,536000,526000,541000,567000,566000,55500,538000,561000,628000,64000,64500,620000,573000,11146000,21-JUN-11,"0","txf"
173,537000,514000,497000,482000,475000,457000,443000,456000,494000,51100,528000,545000,53500,550000,577000,576000,564000,547000,571000,639000,651000,657000,631000,583000,12078600,22-JUN-11,"0","txf"
174,528000,506000,489000,475000,467000,450000,436000,44.9,486000,503000,519000,537000,527000,54100,56700,567000,555000,538000,56200,628000,640000,646000,621000,574000,10859044.9,23-JUN-11,"0","txf"
175,494000,473000,45800,444000,437000,42100,408000,420000,455000,471000,486000,502000,493000,507000,531000,531000,520000,504000,525000,588000,599000,604000,581000,537000,11197900,24-JUN-11,"0","txf"
176,502000,482000,465000,451000,443000,424000,414000,41600,436000,449000,460000,471000,471000,471000,473000,467000,456000,45100,497000,563000,563000,565000,549000,525000,10683700,25-JUN-11,"1","txf"
177,483000,462000,447000,431000,421000,400000,389000,387000,387000,389000,396000,40800,41700,424000,432000,432000,427000,423000,468000,532000,547000,558000,540000,505000,9962500,26-JUN-11,"2","txf"
237,517000,494000,47700,462000,453000,447000,430000,436000,473000,492000,511000,530000,519000,534000,558000,556000,546000,534000,564000,614000,628000,633000,609000,560000,12147700,25-AUG-11,"0","txf"
238,529000,506000,488000,473000,463000,458000,440000,44600,484000,503000,523000,543000,531000,546000,571000,569000,559000,547000,577000,628000,643000,648000,623000,573000,12469600,26-AUG-11,"0","txf"
239,509000,487000,470000,457000,449000,438000,424000,425000,451000,46600,480000,493000,491000,490000,495000,492000,482000,47300,525000,586000,592000,596000,584000,558000,11067900,27-AUG-11,"1","txf"
240,521000,499000,480000,467000,457000,443000,429000,424000,423000,428000,435000,446000,451000,450000,452000,45500,449000,448000,50.3,571000,590000,597000,576000,538000,10619550.3,28-AUG-11,"2","txf"
241,514000,49100,474000,459000,450000,445000,427000,433000,471000,489000,508000,527000,516000,530000,555000,552000,543000,531000,561000,610000,625000,629000,60500,557000,11515600,29-AUG-11,"0","txf"
242,536000,513000,494000,479000,469000,464000,446000,452000,491000,510000,530000,550000,538000,553000,57900,57600,567000,554000,585000,637000,652000,656000,631000,581000,12003500,30-AUG-11,"0","txf"
243,557000,53200,513000,497000,487000,482000,463000,469000,510000,53000,551000,571000,55900,575000,601000,598000,588000,57500,608000,661000,67700,682000,656000,603000,10959300,31-AUG-11,"0","txf"
244,548000,523000,505000,490000,481000,475000,456000,462000,503000,524000,542000,562000,552000,569000,59400,594000,582000,57400,631000,658000,67200,677000,649000,596000,11763000,01-SEP-11,"0","txf"
245,500000,478000,461000,447000,439000,43400,41700,422000,45900,47800,495000,513000,504000,51900,543000,542000,531000,524000,576000,601000,614000,618000,592000,544000,10174700,02-SEP-11,"0","txf"
246,511000,490000,473000,459000,449000,437000,419000,417000,444000,460000,475000,490000,49000,490000,494000,489000,479000,476000,549000,576000,578000,579000,562000,533000,11378000,03-SEP-11,"1","txf"
247,509000,490000,474000,461000,451000,435000,421000,415000,415000,415000,424000,437000,444000,453000,453000,450000,442000,438000,509000,550000,573000,58300,56500,523000,10296800,04-SEP-11,"2","txf"
248,536000,513000,495000,480000,471000,465000,447000,452000,493000,513000,531000,551000,541000,55700,582000,582000,570000,562000,618000,644000,658000,663000,636000,584000,12642700,05-SEP-11,"0","txf"
249,548000,524000,506000,49100,482000,476000,457000,463000,504000,52500,543000,563000,553000,570000,59500,595000,583000,574000,632000,659000,673000,678000,650000,597000,11991100,06-SEP-11,"0","txf"
250,541000,517000,499000,484000,475000,469000,451000,456000,497000,517000,535000,555000,546000,562000,587000,587000,575000,567000,623000,650000,66.4,669000,641000,589000,12592066.4,07-SEP-11,"0","txf"
